Município;Responsável
SUPERINTENDENCIA MUNICIPAL DE TRANSITO - SMT;JOSE FRANCISCO TELES
FUNDACAO DE ENSINO SUPERIOR DE GOIATUBA;VINICIUS VIEIRA RIBEIRO
INSTITUTO DE ASSISTENCIA DOS SERVIDORES DO MUNICIPIO DE GOIATUBA - IAG -;WALTER ALVES DE MORAES
CONSELHO ESCOLAR DO CENTRO MUNICIPAL DE EDUCACAO INFANTIL NORMA CABRAL DE OLIVEIRA;ANDRIELE DE FARIA CABRAL SIMOES
UNIDADE EXECUTORA DA ESCOLA MUNICIPALIZADA SAO DIMAS;MICHELLY DAIANA SILVA GUERRA
CAMARA MUNICIPAL DE CATALAO;JAIR HUMBERTO DA SILVA
CAMARA MUNICIPAL DE BALIZA;LEONARDO HENRIQUE LOPES FERNANDES DE OLIVEIRA
CAMARA MUNICIPAL DE CERES;GLICERIO DE MORAES MENDES JUNIOR
CAMARA MUNICIPAL DE PEROLANDIA;ANDREIA FREESE
CAMARA MUNICIPAL DE RIO VERDE;IDELSON MENDES
CAMARA MUNICIPAL DE SAO LUIS DE MONTES BELOS;ROGERIO RODRIGUES GONCALVES
MUNICIPIO DE AMARALINA;DASIO MARQUES FERREIRA
MUNICIPIO DE BALIZA;ILSON PEREIRA CARVALHO
MUNICIPIO DE BARRO ALTO;ALVARO MACHADO DE FREITAS
MUNICIPIO DE BELA VISTA DE GOIAS;EURIPEDES JOSE DO CARMO
MUNICIPIO DE BRAZABRANTES;MARCIO ANTONIO MACHADO
MUNICIPIO DE BURITI ALEGRE;GARIBALDO FERREIRA DE SANTANA NETO
MUNICIPIO DE CAIAPONIA;ARGEMIRO RODRIGUES SANTOS NETO
MUNICIPIO DE CAMPINACU;DOUGLAS ADYEL RIBEIRO DE FARIA
FUNDO MUNICIPAL DE EDUCACAO DE CAMPINACU - FME;ELIESIO ANTONIO SOARES
MUNICIPIO DE CERES;EDMARIO DE CASTRO BARBOSA
MUNICIPIO DE CORUMBA DE GOIAS;FRANCISCO ALESSANDRO FERNANDES
MUNICIPIO DE CRISTALINA;LUIS OTAVIO BIAZOTO MASSA
MUNICIPIO DE CRIXAS;ALLAN PAES XAVIER
MUNICIPIO DO CORREGO DO OURO;DANILO MARCOS DOS SANTOS
MUNICIPIO DE GOIATUBA;ALBERTO LOPES RIBEIRO
MUNICIPIO DE GOIAS;ADERSON LIBERATO GOUVEA
MUNICIPIO DE HIDROLINA;ELI GONCALVES SIQUEIRA
MUNICIPIO DE ITABERAI;RITA DE CASSIA SOARES MENDONCA
MUNICIPIO DE ITAPACI;FABIO MARCOS DE OLIVEIRA
MUNICIPIO DE JARAGUA;PAULO VITOR AVELAR
MUNICIPIO DE MONTES CLAROS DE GOIAS;JOSE VILMAR MACIEL
MUNICIPIO DE NEROPOLIS;LUIZ ALBERTO FRANCO ARAUJO
INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS DE NEROPOLIS;TEREZINHA DE JESUS PEREIRA MACEDO
MUNICIPIO DE NOVO GAMA;CARLOS ALVES DOS SANTOS
MUNICIPIO DE PARANAIGUARA;JOSE CARLOS BARBOSA
MUNICIPIO DE PEROLANDIA;GRETE ELISA BALZ ROCHA
MUNICIPIO DE PILAR DE GOIAS;TIAGO JAPIASSU BATISTA DO NASCIMENTO ANDRADE
MUNICIPIO DE PIRANHAS;FABIO LASSERRE SOUSA BORGES
MUNICIPIO DE RIANAPOLIS;GILBER ROQUE PEREIRA DE MIRANDA
MUNICIPIO DE RIO QUENTE;ANA PAULA LIMA DE OLIVEIRA MACHADO
MUNICIPIO DE SERRANOPOLIS;ZILMAR FERREIRA DA SILVA CARVALHO
MUNICIPIO DE SAO FRANCISCO DE GOIAS;CLEUTON GOMES DE MOURA
MUNICIPIO DE SAO LUIS DE MONTES BELOS;JORCELINO MARQUES PALMEIRA JUNIOR
MUNICIPIO DE TERESINA DE GOIAS;KLEVERTON BARBOSA DE MELLO
